indicator_id,database,total_count,missing_count,missing_percentage,indicator_label
DT.NFL.UNID.CD,wdi,6384,6384,100.0,"Net official flows from UN agencies, UNIDIR (current US$)"
DT.NFL.UNCTAD.CD,wdi,6384,6364,99.69,"Net official flows from UN agencies, UNCTAD (current US$)"
IE.PPN.ICTI.CD,wdi,6384,6328,99.12,Public private partnerships investment in ICT (current US$)
SH.STA.FGMS.ZS,wdi,6384,6305,98.76,Female genital mutilation prevalence (%)
EN.CLC.DRSK.XQ,wdi,6384,6301,98.7,Disaster risk reduction progress score (1-5 scale; 5=best)
DT.DOD.PVLX.EX.ZS,wdi,6384,6291,98.54,"Present value of external debt (% of exports of goods, services and income)"
SL.SLF.0714.ZS,wdi,6384,6290,98.53,"Children in employment, self-employed (% of children in employment, ages 7-14)"
SL.SLF.0714.FE.ZS,wdi,6384,6290,98.53,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)"
SL.SLF.0714.MA.ZS,wdi,6384,6290,98.53,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)"
DT.DOD.PVLX.GN.ZS,wdi,6384,6289,98.51,Present value of external debt (% of GNI)
SG.VAW.1549.ZS,wdi,6384,6278,98.34,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)
SI.POV.MPUN,wdi,6384,6274,98.28,Multidimensional poverty headcount ratio (UNDP) (% of population)
per_lm_alllm.adq_pop_tot,wdi,6384,6271,98.23,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)
per_lm_alllm.ben_q1_tot,wdi,6384,6271,98.23,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits)
SG.DMK.SRCR.FN.ZS,wdi,6384,6270,98.21,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)"
DT.DOD.PVLX.CD,wdi,6384,6270,98.21,Present value of external debt (current US$)
DT.NFL.UNCD.CD,wdi,6384,6264,98.12,"Net official flows from UN agencies, UNCDF (current US$)"
SL.TLF.0714.WK.FE.TM,wdi,6384,6262,98.09,"Average working hours of children, working only, female, ages 7-14 (hours per week)"
SH.CON.1524.MA.ZS,wdi,6384,6261,98.07,"Condom use, population ages 15-24, male (% of males ages 15-24)"
